short_window,long_window,score
600,36000,42.712858558821154
900,36000,42.15312296157961
3600,28800,39.33158220838661
1800,28800,38.43219358142145
1800,36000,38.16726896449038
3600,36000,38.068294567256494
900,28800,38.05752501854634
600,28800,37.89302687875906
7200,36000,35.03809712927269
1800,7200,34.83629244033026
900,7200,33.7680317526156
7200,28800,32.0138561313833
3600,7200,31.84591156824441
600,7200,29.179314671804587
3600,14400,28.488930006132463
900,14400,25.348858357490943
600,14400,24.537577338439093
1800,14400,21.55207595507528
7200,14400,21.271492022547104
900,3600,20.76675173518331
1800,3600,18.128562196215466
600,3600,14.145643092182636
600,1800,7.833454282714279
900,1800,6.757042362550981
3600,3600,0.0
1800,1800,0.0
7200,7200,0.0
7200,3600,-1.690837132583732
3600,1800,-3.512379240858502
7200,1800,-3.7177259242917775
